31,-1969.54,8067.84,42.6485,-210552
32,8177.63,8394.82,16.7186,342702
33,42.5753,8948.07,0.191454,20.432
34,-844.005,8081.65,35.2627,-74601.9
35,-15.384,8365.35,-545.61,21039.8
36,3.18175,9360.9,-87.8331,-700.509
37,93.6183,9242.97,-0.58751,-137.869
38,-0.0406438,9300.67,221.775,-22.5942
39,21.9904,9246.83,34.3868,1895.46
40,10.7381,9216.38,84.3996,2271.74
41,29.9997,9195.81,148.703,11182.2
42,37.4409,9298.6,113.768,10677.2
43,49.0496,9278.81,112.197,13794.5
44,75.1804,9171.59,112.422,21185.8
45,92.3238,9073.27,117.841,27270.9
46,115.607,9228.52,119.485,34624.8
47,159.94,9135.56,125.373,50263.1
48,85.6137,9205.68,-3.66924,-787.426
49,54.6017,9112.54,-1.18384,-162.027
50,-4304.43,6222.08,602.142,-6.49688e+06
51,0.014844,8933.05,108.265,4.02836
52,10.6442,4855.39,5419.52,144598
53,4.95062,9448.14,95.7979,1188.79
54,145.188,9282.31,0.197623,71.9211
55,8.19157,9254.94,88.6873,1821.04
56,18.4197,9482.43,140.505,6487.32
57,23.1868,9403.49,108.708,6318.21
58,37.7162,9292.53,114.43,10818.3
59,47.1885,9221.58,114.384,13529.8
60,62.3114,9242.13,121.315,18948.4
61,96.1086,9148.11,120.641,29063.4
62,110.244,9182.69,112.56,31104.9
63,149.112,9027.49,111.4,41637.9
