0,409.975,14819.9,202.618,208222
1,286.775,14761.7,202.832,145803
2,209.115,14760.1,202.429,106108
3,155.889,14886.6,206.614,80735.5
4,113.07,14757.2,189.261,53641
5,85.7643,14823.9,188.507,40525
6,71.0045,14902,211.094,37570.9
7,52.7509,14803.7,189.868,25105.6
8,41.988,15063.3,180.708,19019.2
9,-209.214,13113.7,1917.46,-1.00556e+06
10,27.9734,15038.5,189.195,13266.1
11,20.3472,14960.9,177.827,9069.68
12,14.3028,14948.9,196.396,7041.14
13,36.2749,15786.6,-834.539,-75882.8
14,5.55739,15198.1,170.891,2380.57
15,1684.19,15083.8,0.428813,1810.29
16,245.328,14425,203.955,125421
